Date,Close_CL,Open_CL,High_CL,Low_CL,Volume_CL,Close_HO,Open_HO,High_HO,Low_HO,Volume_HO
5/31/1992,0,0,0,0,0,0,0,0,0,0
6/1/1992,22.03,22.14,22.31,21.98,46185,0.6025,0.603,0.61,0.6005,14191
6/2/1992,22.11,21.89,22.17,21.86,37823,0.6038,0.598,0.609,0.5975,14567
6/3/1992,22.43,22.35,22.57,22.35,59617,0.6081,0.61,0.6145,0.6075,13274
6/4/1992,22.48,22.38,22.5,22.28,35120,0.6087,0.604,0.61,0.603,11934
6/5/1992,22.62,22.65,22.7,22.45,43525,0.6185,0.6145,0.62,0.611,14913
6/6/1992,22.62,22.65,22.7,22.45,43525,0.6185,0.6145,0.62,0.611,14913
6/7/1992,22.62,22.65,22.7,22.45,43525,0.6185,0.6145,0.62,0.611,14913
6/8/1992,22.44,22.42,22.46,22.3,31727,0.6131,0.613,0.6155,0.611,8152
6/9/1992,22.32,22.36,22.38,22.27,26215,0.6056,0.609,0.611,0.605,10073
6/10/1992,22.51,22.08,22.58,22.03,41548,0.6147,0.5985,0.616,0.5985,16806
6/11/1992,22.35,22.58,22.63,22.33,34613,0.6088,0.6175,0.6185,0.608,12109
6/12/1992,22.3,22.21,22.39,22.18,35609,0.6115,0.607,0.6135,0.6065,9676
6/13/1992,22.3,22.21,22.39,22.18,35609,0.6115,0.607,0.6135,0.6065,9676
6/14/1992,22.3,22.21,22.39,22.18,35609,0.6115,0.607,0.6135,0.6065,9676
6/15/1992,22.36,22.25,22.41,22.25,23724,0.6104,0.6105,0.6155,0.6095,7754
6/16/1992,22.3,22.3,22.37,22.17,24030,0.608,0.6104,0.6115,0.6055,7273
6/17/1992,22.29,22.12,22.31,22.05,25772,0.6099,0.6035,0.611,0.6025,7949
6/18/1992,22.26,22.29,22.33,22.18,24249,0.6121,0.61,0.614,0.6085,6909
6/19/1992,22.26,22.18,22.31,22.12,37268,0.6146,0.609,0.617,0.609,7020
6/20/1992,22.26,22.18,22.31,22.12,37268,0.6146,0.609,0.617,0.609,7020
6/21/1992,22.26,22.18,22.31,22.12,37268,0.6146,0.609,0.617,0.609,7020
6/22/1992,22.48,21.92,22.54,21.82,35526,0.6184,0.6085,0.621,0.604,10384
